agreement	disagreement	number	subject_index	verb_index	completed
The child indeed certainly stimulates	The child indeed certainly stimulate	singular	1	4	The child indeed certainly stimulates the person.
The child indeed certainly inspires	The child indeed certainly inspire	singular	1	4	The child indeed certainly inspires the person.
The child indeed certainly encourages	The child indeed certainly encourage	singular	1	4	The child indeed certainly encourages the person.
The child indeed certainly confuses	The child indeed certainly confuse	singular	1	4	The child indeed certainly confuses the person.
The child indeed certainly remembers	The child indeed certainly remember	singular	1	4	The child indeed certainly remembers the person.
The child indeed certainly knows	The child indeed certainly know	singular	1	4	The child indeed certainly knows the person.
The child indeed certainly understands	The child indeed certainly understand	singular	1	4	The child indeed certainly understands the person.
The child indeed certainly discourages	The child indeed certainly discourage	singular	1	4	The child indeed certainly discourages the person.
The child indeed certainly avoids	The child indeed certainly avoid	singular	1	4	The child indeed certainly avoids the person.
The child indeed certainly criticizes	The child indeed certainly criticize	singular	1	4	The child indeed certainly criticizes the person.
The child indeed certainly observes	The child indeed certainly observe	singular	1	4	The child indeed certainly observes the person.
The child indeed certainly greets	The child indeed certainly greet	singular	1	4	The child indeed certainly greets the person.
The child indeed certainly admires	The child indeed certainly admire	singular	1	4	The child indeed certainly admires the person.
The child indeed carefully stimulates	The child indeed carefully stimulate	singular	1	4	The child indeed carefully stimulates the person.
The child indeed carefully inspires	The child indeed carefully inspire	singular	1	4	The child indeed carefully inspires the person.
The child indeed carefully encourages	The child indeed carefully encourage	singular	1	4	The child indeed carefully encourages the person.
The child indeed carefully confuses	The child indeed carefully confuse	singular	1	4	The child indeed carefully confuses the person.
The child indeed carefully remembers	The child indeed carefully remember	singular	1	4	The child indeed carefully remembers the person.
The child indeed carefully knows	The child indeed carefully know	singular	1	4	The child indeed carefully knows the person.
The child indeed carefully understands	The child indeed carefully understand	singular	1	4	The child indeed carefully understands the person.
The child indeed carefully discourages	The child indeed carefully discourage	singular	1	4	The child indeed carefully discourages the person.
The child indeed carefully avoids	The child indeed carefully avoid	singular	1	4	The child indeed carefully avoids the person.
The child indeed carefully criticizes	The child indeed carefully criticize	singular	1	4	The child indeed carefully criticizes the person.
The child indeed carefully observes	The child indeed carefully observe	singular	1	4	The child indeed carefully observes the person.
The child indeed carefully greets	The child indeed carefully greet	singular	1	4	The child indeed carefully greets the person.
The child indeed carefully admires	The child indeed carefully admire	singular	1	4	The child indeed carefully admires the person.
The child indeed overtly stimulates	The child indeed overtly stimulate	singular	1	4	The child indeed overtly stimulates the person.
The child indeed overtly inspires	The child indeed overtly inspire	singular	1	4	The child indeed overtly inspires the person.
The child indeed overtly encourages	The child indeed overtly encourage	singular	1	4	The child indeed overtly encourages the person.
The child indeed overtly confuses	The child indeed overtly confuse	singular	1	4	The child indeed overtly confuses the person.
The child indeed overtly remembers	The child indeed overtly remember	singular	1	4	The child indeed overtly remembers the person.
The child indeed overtly knows	The child indeed overtly know	singular	1	4	The child indeed overtly knows the person.
The child indeed overtly understands	The child indeed overtly understand	singular	1	4	The child indeed overtly understands the person.
The child indeed overtly discourages	The child indeed overtly discourage	singular	1	4	The child indeed overtly discourages the person.
The child indeed overtly avoids	The child indeed overtly avoid	singular	1	4	The child indeed overtly avoids the person.
The child indeed overtly criticizes	The child indeed overtly criticize	singular	1	4	The child indeed overtly criticizes the person.
The child indeed overtly observes	The child indeed overtly observe	singular	1	4	The child indeed overtly observes the person.
The child indeed overtly greets	The child indeed overtly greet	singular	1	4	The child indeed overtly greets the person.
The child indeed overtly admires	The child indeed overtly admire	singular	1	4	The child indeed overtly admires the person.
The child indeed probably stimulates	The child indeed probably stimulate	singular	1	4	The child indeed probably stimulates the person.
The child indeed probably inspires	The child indeed probably inspire	singular	1	4	The child indeed probably inspires the person.
The child indeed probably encourages	The child indeed probably encourage	singular	1	4	The child indeed probably encourages the person.
