agreement	disagreement	number	subject_index	verb_index	completed
The friend under the cat carefully confuses	The friend under the cat carefully confuse	singular	1	6	The friend under the cat carefully confuses the person.
The friend under the cat carefully stimulates	The friend under the cat carefully stimulate	singular	1	6	The friend under the cat carefully stimulates the person.
The friend under the cat carefully admires	The friend under the cat carefully admire	singular	1	6	The friend under the cat carefully admires the person.
The friend under the cat carefully knows	The friend under the cat carefully know	singular	1	6	The friend under the cat carefully knows the person.
The friend under the cat carefully discourages	The friend under the cat carefully discourage	singular	1	6	The friend under the cat carefully discourages the person.
The friend under the cat carefully inspires	The friend under the cat carefully inspire	singular	1	6	The friend under the cat carefully inspires the person.
The friend under the cat carefully observes	The friend under the cat carefully observe	singular	1	6	The friend under the cat carefully observes the person.
The friend under the cat carefully greets	The friend under the cat carefully greet	singular	1	6	The friend under the cat carefully greets the person.
The friend under the cat probably confuses	The friend under the cat probably confuse	singular	1	6	The friend under the cat probably confuses the person.
The friend under the cat probably stimulates	The friend under the cat probably stimulate	singular	1	6	The friend under the cat probably stimulates the person.
The friend under the cat probably admires	The friend under the cat probably admire	singular	1	6	The friend under the cat probably admires the person.
The friend under the cat probably knows	The friend under the cat probably know	singular	1	6	The friend under the cat probably knows the person.
The friend under the cat probably discourages	The friend under the cat probably discourage	singular	1	6	The friend under the cat probably discourages the person.
The friend under the cat probably inspires	The friend under the cat probably inspire	singular	1	6	The friend under the cat probably inspires the person.
The friend under the cat probably observes	The friend under the cat probably observe	singular	1	6	The friend under the cat probably observes the person.
The friend under the cat probably greets	The friend under the cat probably greet	singular	1	6	The friend under the cat probably greets the person.
The friend under the cat openly confuses	The friend under the cat openly confuse	singular	1	6	The friend under the cat openly confuses the person.
The friend under the cat openly stimulates	The friend under the cat openly stimulate	singular	1	6	The friend under the cat openly stimulates the person.
The friend under the cat openly admires	The friend under the cat openly admire	singular	1	6	The friend under the cat openly admires the person.
The friend under the cat openly knows	The friend under the cat openly know	singular	1	6	The friend under the cat openly knows the person.
The friend under the cat openly discourages	The friend under the cat openly discourage	singular	1	6	The friend under the cat openly discourages the person.
The friend under the cat openly inspires	The friend under the cat openly inspire	singular	1	6	The friend under the cat openly inspires the person.
The friend under the cat openly observes	The friend under the cat openly observe	singular	1	6	The friend under the cat openly observes the person.
The friend under the cat openly greets	The friend under the cat openly greet	singular	1	6	The friend under the cat openly greets the person.
The friend under the cat certainly confuses	The friend under the cat certainly confuse	singular	1	6	The friend under the cat certainly confuses the person.
The friend under the cat certainly stimulates	The friend under the cat certainly stimulate	singular	1	6	The friend under the cat certainly stimulates the person.
The friend under the cat certainly admires	The friend under the cat certainly admire	singular	1	6	The friend under the cat certainly admires the person.
The friend under the cat certainly knows	The friend under the cat certainly know	singular	1	6	The friend under the cat certainly knows the person.
The friend under the cat certainly discourages	The friend under the cat certainly discourage	singular	1	6	The friend under the cat certainly discourages the person.
The friend under the cat certainly inspires	The friend under the cat certainly inspire	singular	1	6	The friend under the cat certainly inspires the person.
The friend under the cat certainly observes	The friend under the cat certainly observe	singular	1	6	The friend under the cat certainly observes the person.
The friend under the cat certainly greets	The friend under the cat certainly greet	singular	1	6	The friend under the cat certainly greets the person.
The friend under the tree carefully confuses	The friend under the tree carefully confuse	singular	1	6	The friend under the tree carefully confuses the person.
The friend under the tree carefully stimulates	The friend under the tree carefully stimulate	singular	1	6	The friend under the tree carefully stimulates the person.
The friend under the tree carefully admires	The friend under the tree carefully admire	singular	1	6	The friend under the tree carefully admires the person.
The friend under the tree carefully knows	The friend under the tree carefully know	singular	1	6	The friend under the tree carefully knows the person.
The friend under the tree carefully discourages	The friend under the tree carefully discourage	singular	1	6	The friend under the tree carefully discourages the person.
The friend under the tree carefully inspires	The friend under the tree carefully inspire	singular	1	6	The friend under the tree carefully inspires the person.
The friend under the tree carefully observes	The friend under the tree carefully observe	singular	1	6	The friend under the tree carefully observes the person.
The friend under the tree carefully greets	The friend under the tree carefully greet	singular	1	6	The friend under the tree carefully greets the person.
The friend under the tree probably confuses	The friend under the tree probably confuse	singular	1	6	The friend under the tree probably confuses the person.
The friend under the tree probably stimulates	The friend under the tree probably stimulate	singular	1	6	The friend under the tree probably stimulates the person.
The friend under the tree probably admires	The friend under the tree probably admire	singular	1	6	The friend under the tree probably admires the person.
The friend under the tree probably knows	The friend under the tree probably know	singular	1	6	The friend under the tree probably knows the person.
The friend under the tree probably discourages	The friend under the tree probably discourage	singular	1	6	The friend under the tree probably discourages the person.
The friend under the tree probably inspires	The friend under the tree probably inspire	singular	1	6	The friend under the tree probably inspires the person.
The friend under the tree probably observes	The friend under the tree probably observe	singular	1	6	The friend under the tree probably observes the person.
The friend under the tree probably greets	The friend under the tree probably greet	singular	1	6	The friend under the tree probably greets the person.
