agreement	disagreement	number	subject_index	verb_index	completed
De dichter stimuleert	De dichter stimuleren	singular	1	2	De dichter stimuleert de persoon voorzichtig en openlijk.
De dichter stimuleert	De dichter stimuleren	singular	1	2	De dichter stimuleert de persoon voorzichtig en waarschijnlijk.
De dichter stimuleert	De dichter stimuleren	singular	1	2	De dichter stimuleert de persoon voorzichtig en zeker.
De dichter stimuleert	De dichter stimuleren	singular	1	2	De dichter stimuleert de persoon bewust en openlijk.
De dichter stimuleert	De dichter stimuleren	singular	1	2	De dichter stimuleert de persoon bewust en waarschijnlijk.
De dichter stimuleert	De dichter stimuleren	singular	1	2	De dichter stimuleert de persoon bewust en zeker.
De dichter stimuleert	De dichter stimuleren	singular	1	2	De dichter stimuleert de persoon publiekelijk en openlijk.
De dichter stimuleert	De dichter stimuleren	singular	1	2	De dichter stimuleert de persoon publiekelijk en waarschijnlijk.
De dichter stimuleert	De dichter stimuleren	singular	1	2	De dichter stimuleert de persoon publiekelijk en zeker.
De dichter bekritiseert	De dichter bekritiseren	singular	1	2	De dichter bekritiseert de persoon voorzichtig en openlijk.
De dichter bekritiseert	De dichter bekritiseren	singular	1	2	De dichter bekritiseert de persoon voorzichtig en waarschijnlijk.
De dichter bekritiseert	De dichter bekritiseren	singular	1	2	De dichter bekritiseert de persoon voorzichtig en zeker.
De dichter bekritiseert	De dichter bekritiseren	singular	1	2	De dichter bekritiseert de persoon bewust en openlijk.
De dichter bekritiseert	De dichter bekritiseren	singular	1	2	De dichter bekritiseert de persoon bewust en waarschijnlijk.
De dichter bekritiseert	De dichter bekritiseren	singular	1	2	De dichter bekritiseert de persoon bewust en zeker.
De dichter bekritiseert	De dichter bekritiseren	singular	1	2	De dichter bekritiseert de persoon publiekelijk en openlijk.
De dichter bekritiseert	De dichter bekritiseren	singular	1	2	De dichter bekritiseert de persoon publiekelijk en waarschijnlijk.
De dichter bekritiseert	De dichter bekritiseren	singular	1	2	De dichter bekritiseert de persoon publiekelijk en zeker.
De dichter ontmoedigt	De dichter ontmoedigen	singular	1	2	De dichter ontmoedigt de persoon voorzichtig en openlijk.
De dichter ontmoedigt	De dichter ontmoedigen	singular	1	2	De dichter ontmoedigt de persoon voorzichtig en waarschijnlijk.
De dichter ontmoedigt	De dichter ontmoedigen	singular	1	2	De dichter ontmoedigt de persoon voorzichtig en zeker.
De dichter ontmoedigt	De dichter ontmoedigen	singular	1	2	De dichter ontmoedigt de persoon bewust en openlijk.
De dichter ontmoedigt	De dichter ontmoedigen	singular	1	2	De dichter ontmoedigt de persoon bewust en waarschijnlijk.
De dichter ontmoedigt	De dichter ontmoedigen	singular	1	2	De dichter ontmoedigt de persoon bewust en zeker.
De dichter ontmoedigt	De dichter ontmoedigen	singular	1	2	De dichter ontmoedigt de persoon publiekelijk en openlijk.
De dichter ontmoedigt	De dichter ontmoedigen	singular	1	2	De dichter ontmoedigt de persoon publiekelijk en waarschijnlijk.
De dichter ontmoedigt	De dichter ontmoedigen	singular	1	2	De dichter ontmoedigt de persoon publiekelijk en zeker.
De dichter groet	De dichter groeten	singular	1	2	De dichter groet de persoon voorzichtig en openlijk.
De dichter groet	De dichter groeten	singular	1	2	De dichter groet de persoon voorzichtig en waarschijnlijk.
De dichter groet	De dichter groeten	singular	1	2	De dichter groet de persoon voorzichtig en zeker.
De dichter groet	De dichter groeten	singular	1	2	De dichter groet de persoon bewust en openlijk.
De dichter groet	De dichter groeten	singular	1	2	De dichter groet de persoon bewust en waarschijnlijk.
De dichter groet	De dichter groeten	singular	1	2	De dichter groet de persoon bewust en zeker.
De dichter groet	De dichter groeten	singular	1	2	De dichter groet de persoon publiekelijk en openlijk.
De dichter groet	De dichter groeten	singular	1	2	De dichter groet de persoon publiekelijk en waarschijnlijk.
De dichter groet	De dichter groeten	singular	1	2	De dichter groet de persoon publiekelijk en zeker.
De dichter bemoedigt	De dichter bemoedigen	singular	1	2	De dichter bemoedigt de persoon voorzichtig en openlijk.
De dichter bemoedigt	De dichter bemoedigen	singular	1	2	De dichter bemoedigt de persoon voorzichtig en waarschijnlijk.
De dichter bemoedigt	De dichter bemoedigen	singular	1	2	De dichter bemoedigt de persoon voorzichtig en zeker.
De dichter bemoedigt	De dichter bemoedigen	singular	1	2	De dichter bemoedigt de persoon bewust en openlijk.
De dichter bemoedigt	De dichter bemoedigen	singular	1	2	De dichter bemoedigt de persoon bewust en waarschijnlijk.
De dichter bemoedigt	De dichter bemoedigen	singular	1	2	De dichter bemoedigt de persoon bewust en zeker.
De dichter bemoedigt	De dichter bemoedigen	singular	1	2	De dichter bemoedigt de persoon publiekelijk en openlijk.
De dichter bemoedigt	De dichter bemoedigen	singular	1	2	De dichter bemoedigt de persoon publiekelijk en waarschijnlijk.
De dichter bemoedigt	De dichter bemoedigen	singular	1	2	De dichter bemoedigt de persoon publiekelijk en zeker.
De dichter observeert	De dichter observeren	singular	1	2	De dichter observeert de persoon voorzichtig en openlijk.
De dichter observeert	De dichter observeren	singular	1	2	De dichter observeert de persoon voorzichtig en waarschijnlijk.
De dichter observeert	De dichter observeren	singular	1	2	De dichter observeert de persoon voorzichtig en zeker.
De dichter observeert	De dichter observeren	singular	1	2	De dichter observeert de persoon bewust en openlijk.
De dichter observeert	De dichter observeren	singular	1	2	De dichter observeert de persoon bewust en waarschijnlijk.
De dichter observeert	De dichter observeren	singular	1	2	De dichter observeert de persoon bewust en zeker.
De dichter observeert	De dichter observeren	singular	1	2	De dichter observeert de persoon publiekelijk en openlijk.
De dichter observeert	De dichter observeren	singular	1	2	De dichter observeert de persoon publiekelijk en waarschijnlijk.
De dichter observeert	De dichter observeren	singular	1	2	De dichter observeert de persoon publiekelijk en zeker.
De dichter vermijdt	De dichter vermijden	singular	1	2	De dichter vermijdt de persoon voorzichtig en openlijk.
De dichter vermijdt	De dichter vermijden	singular	1	2	De dichter vermijdt de persoon voorzichtig en waarschijnlijk.
De dichter vermijdt	De dichter vermijden	singular	1	2	De dichter vermijdt de persoon voorzichtig en zeker.
De dichter vermijdt	De dichter vermijden	singular	1	2	De dichter vermijdt de persoon bewust en openlijk.
De dichter vermijdt	De dichter vermijden	singular	1	2	De dichter vermijdt de persoon bewust en waarschijnlijk.
De dichter vermijdt	De dichter vermijden	singular	1	2	De dichter vermijdt de persoon bewust en zeker.
De dichter vermijdt	De dichter vermijden	singular	1	2	De dichter vermijdt de persoon publiekelijk en openlijk.
De dichter vermijdt	De dichter vermijden	singular	1	2	De dichter vermijdt de persoon publiekelijk en waarschijnlijk.
De dichter vermijdt	De dichter vermijden	singular	1	2	De dichter vermijdt de persoon publiekelijk en zeker.
De dichter verwart	De dichter verwarren	singular	1	2	De dichter verwart de persoon voorzichtig en openlijk.
De dichter verwart	De dichter verwarren	singular	1	2	De dichter verwart de persoon voorzichtig en waarschijnlijk.
De dichter verwart	De dichter verwarren	singular	1	2	De dichter verwart de persoon voorzichtig en zeker.
De dichter verwart	De dichter verwarren	singular	1	2	De dichter verwart de persoon bewust en openlijk.
De dichter verwart	De dichter verwarren	singular	1	2	De dichter verwart de persoon bewust en waarschijnlijk.
De dichter verwart	De dichter verwarren	singular	1	2	De dichter verwart de persoon bewust en zeker.
De dichter verwart	De dichter verwarren	singular	1	2	De dichter verwart de persoon publiekelijk en openlijk.
De dichter verwart	De dichter verwarren	singular	1	2	De dichter verwart de persoon publiekelijk en waarschijnlijk.
De dichter verwart	De dichter verwarren	singular	1	2	De dichter verwart de persoon publiekelijk en zeker.
De dichter kent	De dichter kennen	singular	1	2	De dichter kent de persoon voorzichtig en openlijk.
De dichter kent	De dichter kennen	singular	1	2	De dichter kent de persoon voorzichtig en waarschijnlijk.
De dichter kent	De dichter kennen	singular	1	2	De dichter kent de persoon voorzichtig en zeker.
De dichter kent	De dichter kennen	singular	1	2	De dichter kent de persoon bewust en openlijk.
De dichter kent	De dichter kennen	singular	1	2	De dichter kent de persoon bewust en waarschijnlijk.
De dichter kent	De dichter kennen	singular	1	2	De dichter kent de persoon bewust en zeker.
De dichter kent	De dichter kennen	singular	1	2	De dichter kent de persoon publiekelijk en openlijk.
De dichter kent	De dichter kennen	singular	1	2	De dichter kent de persoon publiekelijk en waarschijnlijk.
De dichter kent	De dichter kennen	singular	1	2	De dichter kent de persoon publiekelijk en zeker.
De dichter bewondert	De dichter bewonderen	singular	1	2	De dichter bewondert de persoon voorzichtig en openlijk.
De dichter bewondert	De dichter bewonderen	singular	1	2	De dichter bewondert de persoon voorzichtig en waarschijnlijk.
De dichter bewondert	De dichter bewonderen	singular	1	2	De dichter bewondert de persoon voorzichtig en zeker.
De dichter bewondert	De dichter bewonderen	singular	1	2	De dichter bewondert de persoon bewust en openlijk.
De dichter bewondert	De dichter bewonderen	singular	1	2	De dichter bewondert de persoon bewust en waarschijnlijk.
De dichter bewondert	De dichter bewonderen	singular	1	2	De dichter bewondert de persoon bewust en zeker.
De dichter bewondert	De dichter bewonderen	singular	1	2	De dichter bewondert de persoon publiekelijk en openlijk.
De dichter bewondert	De dichter bewonderen	singular	1	2	De dichter bewondert de persoon publiekelijk en waarschijnlijk.
