agreement	disagreement	number	subject_index	verb_index	completed
The child overtly and knowingly confuses	The child overtly and knowingly confuse	singular	1	5	The child overtly and knowingly confuses the person.
The child overtly and knowingly criticizes	The child overtly and knowingly criticize	singular	1	5	The child overtly and knowingly criticizes the person.
The child overtly and knowingly admires	The child overtly and knowingly admire	singular	1	5	The child overtly and knowingly admires the person.
The child overtly and knowingly inspires	The child overtly and knowingly inspire	singular	1	5	The child overtly and knowingly inspires the person.
The child overtly and knowingly greets	The child overtly and knowingly greet	singular	1	5	The child overtly and knowingly greets the person.
The child overtly and knowingly knows	The child overtly and knowingly know	singular	1	5	The child overtly and knowingly knows the person.
The child overtly and knowingly encourages	The child overtly and knowingly encourage	singular	1	5	The child overtly and knowingly encourages the person.
The child overtly and knowingly avoids	The child overtly and knowingly avoid	singular	1	5	The child overtly and knowingly avoids the person.
The child overtly and knowingly observes	The child overtly and knowingly observe	singular	1	5	The child overtly and knowingly observes the person.
The child overtly and knowingly understands	The child overtly and knowingly understand	singular	1	5	The child overtly and knowingly understands the person.
The child overtly and knowingly stimulates	The child overtly and knowingly stimulate	singular	1	5	The child overtly and knowingly stimulates the person.
The child overtly and knowingly discourages	The child overtly and knowingly discourage	singular	1	5	The child overtly and knowingly discourages the person.
The child overtly and knowingly remembers	The child overtly and knowingly remember	singular	1	5	The child overtly and knowingly remembers the person.
The child overtly and probably confuses	The child overtly and probably confuse	singular	1	5	The child overtly and probably confuses the person.
The child overtly and probably criticizes	The child overtly and probably criticize	singular	1	5	The child overtly and probably criticizes the person.
The child overtly and probably admires	The child overtly and probably admire	singular	1	5	The child overtly and probably admires the person.
The child overtly and probably inspires	The child overtly and probably inspire	singular	1	5	The child overtly and probably inspires the person.
The child overtly and probably greets	The child overtly and probably greet	singular	1	5	The child overtly and probably greets the person.
The child overtly and probably knows	The child overtly and probably know	singular	1	5	The child overtly and probably knows the person.
The child overtly and probably encourages	The child overtly and probably encourage	singular	1	5	The child overtly and probably encourages the person.
The child overtly and probably avoids	The child overtly and probably avoid	singular	1	5	The child overtly and probably avoids the person.
The child overtly and probably observes	The child overtly and probably observe	singular	1	5	The child overtly and probably observes the person.
The child overtly and probably understands	The child overtly and probably understand	singular	1	5	The child overtly and probably understands the person.
The child overtly and probably stimulates	The child overtly and probably stimulate	singular	1	5	The child overtly and probably stimulates the person.
The child overtly and probably discourages	The child overtly and probably discourage	singular	1	5	The child overtly and probably discourages the person.
The child overtly and probably remembers	The child overtly and probably remember	singular	1	5	The child overtly and probably remembers the person.
The child overtly and openly confuses	The child overtly and openly confuse	singular	1	5	The child overtly and openly confuses the person.
The child overtly and openly criticizes	The child overtly and openly criticize	singular	1	5	The child overtly and openly criticizes the person.
The child overtly and openly admires	The child overtly and openly admire	singular	1	5	The child overtly and openly admires the person.
The child overtly and openly inspires	The child overtly and openly inspire	singular	1	5	The child overtly and openly inspires the person.
The child overtly and openly greets	The child overtly and openly greet	singular	1	5	The child overtly and openly greets the person.
The child overtly and openly knows	The child overtly and openly know	singular	1	5	The child overtly and openly knows the person.
The child overtly and openly encourages	The child overtly and openly encourage	singular	1	5	The child overtly and openly encourages the person.
The child overtly and openly avoids	The child overtly and openly avoid	singular	1	5	The child overtly and openly avoids the person.
The child overtly and openly observes	The child overtly and openly observe	singular	1	5	The child overtly and openly observes the person.
The child overtly and openly understands	The child overtly and openly understand	singular	1	5	The child overtly and openly understands the person.
The child overtly and openly stimulates	The child overtly and openly stimulate	singular	1	5	The child overtly and openly stimulates the person.
The child overtly and openly discourages	The child overtly and openly discourage	singular	1	5	The child overtly and openly discourages the person.
The child overtly and openly remembers	The child overtly and openly remember	singular	1	5	The child overtly and openly remembers the person.
The child certainly and knowingly confuses	The child certainly and knowingly confuse	singular	1	5	The child certainly and knowingly confuses the person.
The child certainly and knowingly criticizes	The child certainly and knowingly criticize	singular	1	5	The child certainly and knowingly criticizes the person.
The child certainly and knowingly admires	The child certainly and knowingly admire	singular	1	5	The child certainly and knowingly admires the person.
The child certainly and knowingly inspires	The child certainly and knowingly inspire	singular	1	5	The child certainly and knowingly inspires the person.
The child certainly and knowingly greets	The child certainly and knowingly greet	singular	1	5	The child certainly and knowingly greets the person.
The child certainly and knowingly knows	The child certainly and knowingly know	singular	1	5	The child certainly and knowingly knows the person.
The child certainly and knowingly encourages	The child certainly and knowingly encourage	singular	1	5	The child certainly and knowingly encourages the person.
The child certainly and knowingly avoids	The child certainly and knowingly avoid	singular	1	5	The child certainly and knowingly avoids the person.
The child certainly and knowingly observes	The child certainly and knowingly observe	singular	1	5	The child certainly and knowingly observes the person.
The child certainly and knowingly understands	The child certainly and knowingly understand	singular	1	5	The child certainly and knowingly understands the person.
The child certainly and knowingly stimulates	The child certainly and knowingly stimulate	singular	1	5	The child certainly and knowingly stimulates the person.
The child certainly and knowingly discourages	The child certainly and knowingly discourage	singular	1	5	The child certainly and knowingly discourages the person.
The child certainly and knowingly remembers	The child certainly and knowingly remember	singular	1	5	The child certainly and knowingly remembers the person.
The child certainly and probably confuses	The child certainly and probably confuse	singular	1	5	The child certainly and probably confuses the person.
The child certainly and probably criticizes	The child certainly and probably criticize	singular	1	5	The child certainly and probably criticizes the person.
The child certainly and probably admires	The child certainly and probably admire	singular	1	5	The child certainly and probably admires the person.
The child certainly and probably inspires	The child certainly and probably inspire	singular	1	5	The child certainly and probably inspires the person.
The child certainly and probably greets	The child certainly and probably greet	singular	1	5	The child certainly and probably greets the person.
The child certainly and probably knows	The child certainly and probably know	singular	1	5	The child certainly and probably knows the person.
The child certainly and probably encourages	The child certainly and probably encourage	singular	1	5	The child certainly and probably encourages the person.
The child certainly and probably avoids	The child certainly and probably avoid	singular	1	5	The child certainly and probably avoids the person.
The child certainly and probably observes	The child certainly and probably observe	singular	1	5	The child certainly and probably observes the person.
The child certainly and probably understands	The child certainly and probably understand	singular	1	5	The child certainly and probably understands the person.
The child certainly and probably stimulates	The child certainly and probably stimulate	singular	1	5	The child certainly and probably stimulates the person.
The child certainly and probably discourages	The child certainly and probably discourage	singular	1	5	The child certainly and probably discourages the person.
The child certainly and probably remembers	The child certainly and probably remember	singular	1	5	The child certainly and probably remembers the person.
The child certainly and openly confuses	The child certainly and openly confuse	singular	1	5	The child certainly and openly confuses the person.
The child certainly and openly criticizes	The child certainly and openly criticize	singular	1	5	The child certainly and openly criticizes the person.
The child certainly and openly admires	The child certainly and openly admire	singular	1	5	The child certainly and openly admires the person.
The child certainly and openly inspires	The child certainly and openly inspire	singular	1	5	The child certainly and openly inspires the person.
The child certainly and openly greets	The child certainly and openly greet	singular	1	5	The child certainly and openly greets the person.
The child certainly and openly knows	The child certainly and openly know	singular	1	5	The child certainly and openly knows the person.
The child certainly and openly encourages	The child certainly and openly encourage	singular	1	5	The child certainly and openly encourages the person.
The child certainly and openly avoids	The child certainly and openly avoid	singular	1	5	The child certainly and openly avoids the person.
The child certainly and openly observes	The child certainly and openly observe	singular	1	5	The child certainly and openly observes the person.
The child certainly and openly understands	The child certainly and openly understand	singular	1	5	The child certainly and openly understands the person.
The child certainly and openly stimulates	The child certainly and openly stimulate	singular	1	5	The child certainly and openly stimulates the person.
The child certainly and openly discourages	The child certainly and openly discourage	singular	1	5	The child certainly and openly discourages the person.
The child certainly and openly remembers	The child certainly and openly remember	singular	1	5	The child certainly and openly remembers the person.
The child carefully and knowingly confuses	The child carefully and knowingly confuse	singular	1	5	The child carefully and knowingly confuses the person.
The child carefully and knowingly criticizes	The child carefully and knowingly criticize	singular	1	5	The child carefully and knowingly criticizes the person.
The child carefully and knowingly admires	The child carefully and knowingly admire	singular	1	5	The child carefully and knowingly admires the person.
The child carefully and knowingly inspires	The child carefully and knowingly inspire	singular	1	5	The child carefully and knowingly inspires the person.
The child carefully and knowingly greets	The child carefully and knowingly greet	singular	1	5	The child carefully and knowingly greets the person.
The child carefully and knowingly knows	The child carefully and knowingly know	singular	1	5	The child carefully and knowingly knows the person.
The child carefully and knowingly encourages	The child carefully and knowingly encourage	singular	1	5	The child carefully and knowingly encourages the person.
The child carefully and knowingly avoids	The child carefully and knowingly avoid	singular	1	5	The child carefully and knowingly avoids the person.
The child carefully and knowingly observes	The child carefully and knowingly observe	singular	1	5	The child carefully and knowingly observes the person.
The child carefully and knowingly understands	The child carefully and knowingly understand	singular	1	5	The child carefully and knowingly understands the person.
The child carefully and knowingly stimulates	The child carefully and knowingly stimulate	singular	1	5	The child carefully and knowingly stimulates the person.
The child carefully and knowingly discourages	The child carefully and knowingly discourage	singular	1	5	The child carefully and knowingly discourages the person.
The child carefully and knowingly remembers	The child carefully and knowingly remember	singular	1	5	The child carefully and knowingly remembers the person.
The child carefully and probably confuses	The child carefully and probably confuse	singular	1	5	The child carefully and probably confuses the person.
The child carefully and probably criticizes	The child carefully and probably criticize	singular	1	5	The child carefully and probably criticizes the person.
The child carefully and probably admires	The child carefully and probably admire	singular	1	5	The child carefully and probably admires the person.
The child carefully and probably inspires	The child carefully and probably inspire	singular	1	5	The child carefully and probably inspires the person.
The child carefully and probably greets	The child carefully and probably greet	singular	1	5	The child carefully and probably greets the person.
The child carefully and probably knows	The child carefully and probably know	singular	1	5	The child carefully and probably knows the person.
The child carefully and probably encourages	The child carefully and probably encourage	singular	1	5	The child carefully and probably encourages the person.
The child carefully and probably avoids	The child carefully and probably avoid	singular	1	5	The child carefully and probably avoids the person.
The child carefully and probably observes	The child carefully and probably observe	singular	1	5	The child carefully and probably observes the person.
