agreement	disagreement	number	subject_index	verb_index	completed
De dichter en de moeder observeren	De dichter en de moeder observeert	singular	1	5	De dichter en de moeder observeren de persoon.
De dichter en de moeder bemoedigen	De dichter en de moeder bemoedigt	singular	1	5	De dichter en de moeder bemoedigen de persoon.
De dichter en de moeder groeten	De dichter en de moeder groet	singular	1	5	De dichter en de moeder groeten de persoon.
De dichter en de moeder vermijden	De dichter en de moeder vermijdt	singular	1	5	De dichter en de moeder vermijden de persoon.
De dichter en de moeder ontmoedigen	De dichter en de moeder ontmoedigt	singular	1	5	De dichter en de moeder ontmoedigen de persoon.
De dichter en de moeder kennen	De dichter en de moeder kent	singular	1	5	De dichter en de moeder kennen de persoon.
De dichter en de moeder stimuleren	De dichter en de moeder stimuleert	singular	1	5	De dichter en de moeder stimuleren de persoon.
De dichter en de moeder begrijpen	De dichter en de moeder begrijpt	singular	1	5	De dichter en de moeder begrijpen de persoon.
De dichter en de advocaat observeren	De dichter en de advocaat observeert	singular	1	5	De dichter en de advocaat observeren de persoon.
De dichter en de advocaat bemoedigen	De dichter en de advocaat bemoedigt	singular	1	5	De dichter en de advocaat bemoedigen de persoon.
De dichter en de advocaat groeten	De dichter en de advocaat groet	singular	1	5	De dichter en de advocaat groeten de persoon.
De dichter en de advocaat vermijden	De dichter en de advocaat vermijdt	singular	1	5	De dichter en de advocaat vermijden de persoon.
De dichter en de advocaat ontmoedigen	De dichter en de advocaat ontmoedigt	singular	1	5	De dichter en de advocaat ontmoedigen de persoon.
De dichter en de advocaat kennen	De dichter en de advocaat kent	singular	1	5	De dichter en de advocaat kennen de persoon.
De dichter en de advocaat stimuleren	De dichter en de advocaat stimuleert	singular	1	5	De dichter en de advocaat stimuleren de persoon.
De dichter en de advocaat begrijpen	De dichter en de advocaat begrijpt	singular	1	5	De dichter en de advocaat begrijpen de persoon.
De dichter en het meisje observeren	De dichter en het meisje observeert	singular	1	5	De dichter en het meisje observeren de persoon.
De dichter en het meisje bemoedigen	De dichter en het meisje bemoedigt	singular	1	5	De dichter en het meisje bemoedigen de persoon.
