agreement	disagreement	number	subject_index	verb_index	completed
The poet and the mother observe	The poet and the mother observes	singular	1	5	The poet and the mother observe the person.
The poet and the mother encourage	The poet and the mother encourages	singular	1	5	The poet and the mother encourage the person.
The poet and the mother greet	The poet and the mother greets	singular	1	5	The poet and the mother greet the person.
The poet and the mother avoid	The poet and the mother avoids	singular	1	5	The poet and the mother avoid the person.
The poet and the mother discourage	The poet and the mother discourages	singular	1	5	The poet and the mother discourage the person.
The poet and the mother know	The poet and the mother knows	singular	1	5	The poet and the mother know the person.
The poet and the mother stimulate	The poet and the mother stimulates	singular	1	5	The poet and the mother stimulate the person.
The poet and the mother understand	The poet and the mother understands	singular	1	5	The poet and the mother understand the person.
The poet and the lawyer observe	The poet and the lawyer observes	singular	1	5	The poet and the lawyer observe the person.
The poet and the lawyer encourage	The poet and the lawyer encourages	singular	1	5	The poet and the lawyer encourage the person.
The poet and the lawyer greet	The poet and the lawyer greets	singular	1	5	The poet and the lawyer greet the person.
The poet and the lawyer avoid	The poet and the lawyer avoids	singular	1	5	The poet and the lawyer avoid the person.
The poet and the lawyer discourage	The poet and the lawyer discourages	singular	1	5	The poet and the lawyer discourage the person.
The poet and the lawyer know	The poet and the lawyer knows	singular	1	5	The poet and the lawyer know the person.
The poet and the lawyer stimulate	The poet and the lawyer stimulates	singular	1	5	The poet and the lawyer stimulate the person.
The poet and the lawyer understand	The poet and the lawyer understands	singular	1	5	The poet and the lawyer understand the person.
The poet and the girl observe	The poet and the girl observes	singular	1	5	The poet and the girl observe the person.
The poet and the girl encourage	The poet and the girl encourages	singular	1	5	The poet and the girl encourage the person.
The poet and the girl greet	The poet and the girl greets	singular	1	5	The poet and the girl greet the person.
The poet and the girl avoid	The poet and the girl avoids	singular	1	5	The poet and the girl avoid the person.
The poet and the girl discourage	The poet and the girl discourages	singular	1	5	The poet and the girl discourage the person.
The poet and the girl know	The poet and the girl knows	singular	1	5	The poet and the girl know the person.
The poet and the girl stimulate	The poet and the girl stimulates	singular	1	5	The poet and the girl stimulate the person.
The poet and the girl understand	The poet and the girl understands	singular	1	5	The poet and the girl understand the person.
The poet and the athlete observe	The poet and the athlete observes	singular	1	5	The poet and the athlete observe the person.
The poet and the athlete encourage	The poet and the athlete encourages	singular	1	5	The poet and the athlete encourage the person.
The poet and the athlete greet	The poet and the athlete greets	singular	1	5	The poet and the athlete greet the person.
The poet and the athlete avoid	The poet and the athlete avoids	singular	1	5	The poet and the athlete avoid the person.
The poet and the athlete discourage	The poet and the athlete discourages	singular	1	5	The poet and the athlete discourage the person.
