agreement	disagreement	number	subject_index	verb_index	completed
De vriend onder de kat verwart	De vriend onder de kat verwarren	singular	1	5	De vriend onder de kat verwart de persoon voorzichtig.
De vriend onder de kat stimuleert	De vriend onder de kat stimuleren	singular	1	5	De vriend onder de kat stimuleert de persoon voorzichtig.
De vriend onder de kat bewondert	De vriend onder de kat bewonderen	singular	1	5	De vriend onder de kat bewondert de persoon voorzichtig.
De vriend onder de kat kent	De vriend onder de kat kennen	singular	1	5	De vriend onder de kat kent de persoon voorzichtig.
De vriend onder de kat ontmoedigt	De vriend onder de kat ontmoedigen	singular	1	5	De vriend onder de kat ontmoedigt de persoon voorzichtig.
De vriend onder de kat inspireert	De vriend onder de kat inspireren	singular	1	5	De vriend onder de kat inspireert de persoon voorzichtig.
De vriend onder de kat observeert	De vriend onder de kat observeren	singular	1	5	De vriend onder de kat observeert de persoon voorzichtig.
De vriend onder de kat groet	De vriend onder de kat groeten	singular	1	5	De vriend onder de kat groet de persoon voorzichtig.
De vriend onder de kat verwart	De vriend onder de kat verwarren	singular	1	5	De vriend onder de kat verwart de persoon waarschijnlijk.
De vriend onder de kat stimuleert	De vriend onder de kat stimuleren	singular	1	5	De vriend onder de kat stimuleert de persoon waarschijnlijk.
De vriend onder de kat bewondert	De vriend onder de kat bewonderen	singular	1	5	De vriend onder de kat bewondert de persoon waarschijnlijk.
De vriend onder de kat kent	De vriend onder de kat kennen	singular	1	5	De vriend onder de kat kent de persoon waarschijnlijk.
De vriend onder de kat ontmoedigt	De vriend onder de kat ontmoedigen	singular	1	5	De vriend onder de kat ontmoedigt de persoon waarschijnlijk.
De vriend onder de kat inspireert	De vriend onder de kat inspireren	singular	1	5	De vriend onder de kat inspireert de persoon waarschijnlijk.
De vriend onder de kat observeert	De vriend onder de kat observeren	singular	1	5	De vriend onder de kat observeert de persoon waarschijnlijk.
De vriend onder de kat groet	De vriend onder de kat groeten	singular	1	5	De vriend onder de kat groet de persoon waarschijnlijk.
De vriend onder de kat verwart	De vriend onder de kat verwarren	singular	1	5	De vriend onder de kat verwart de persoon openlijk.
De vriend onder de kat stimuleert	De vriend onder de kat stimuleren	singular	1	5	De vriend onder de kat stimuleert de persoon openlijk.
De vriend onder de kat bewondert	De vriend onder de kat bewonderen	singular	1	5	De vriend onder de kat bewondert de persoon openlijk.
De vriend onder de kat kent	De vriend onder de kat kennen	singular	1	5	De vriend onder de kat kent de persoon openlijk.
De vriend onder de kat ontmoedigt	De vriend onder de kat ontmoedigen	singular	1	5	De vriend onder de kat ontmoedigt de persoon openlijk.
De vriend onder de kat inspireert	De vriend onder de kat inspireren	singular	1	5	De vriend onder de kat inspireert de persoon openlijk.
De vriend onder de kat observeert	De vriend onder de kat observeren	singular	1	5	De vriend onder de kat observeert de persoon openlijk.
De vriend onder de kat groet	De vriend onder de kat groeten	singular	1	5	De vriend onder de kat groet de persoon openlijk.
De vriend onder de kat verwart	De vriend onder de kat verwarren	singular	1	5	De vriend onder de kat verwart de persoon zeker.
De vriend onder de kat stimuleert	De vriend onder de kat stimuleren	singular	1	5	De vriend onder de kat stimuleert de persoon zeker.
De vriend onder de kat bewondert	De vriend onder de kat bewonderen	singular	1	5	De vriend onder de kat bewondert de persoon zeker.
De vriend onder de kat kent	De vriend onder de kat kennen	singular	1	5	De vriend onder de kat kent de persoon zeker.
De vriend onder de kat ontmoedigt	De vriend onder de kat ontmoedigen	singular	1	5	De vriend onder de kat ontmoedigt de persoon zeker.
De vriend onder de kat inspireert	De vriend onder de kat inspireren	singular	1	5	De vriend onder de kat inspireert de persoon zeker.
De vriend onder de kat observeert	De vriend onder de kat observeren	singular	1	5	De vriend onder de kat observeert de persoon zeker.
De vriend onder de kat groet	De vriend onder de kat groeten	singular	1	5	De vriend onder de kat groet de persoon zeker.
De vriend onder de boom verwart	De vriend onder de boom verwarren	singular	1	5	De vriend onder de boom verwart de persoon voorzichtig.
De vriend onder de boom stimuleert	De vriend onder de boom stimuleren	singular	1	5	De vriend onder de boom stimuleert de persoon voorzichtig.
De vriend onder de boom bewondert	De vriend onder de boom bewonderen	singular	1	5	De vriend onder de boom bewondert de persoon voorzichtig.
De vriend onder de boom kent	De vriend onder de boom kennen	singular	1	5	De vriend onder de boom kent de persoon voorzichtig.
De vriend onder de boom ontmoedigt	De vriend onder de boom ontmoedigen	singular	1	5	De vriend onder de boom ontmoedigt de persoon voorzichtig.
De vriend onder de boom inspireert	De vriend onder de boom inspireren	singular	1	5	De vriend onder de boom inspireert de persoon voorzichtig.
De vriend onder de boom observeert	De vriend onder de boom observeren	singular	1	5	De vriend onder de boom observeert de persoon voorzichtig.
De vriend onder de boom groet	De vriend onder de boom groeten	singular	1	5	De vriend onder de boom groet de persoon voorzichtig.
De vriend onder de boom verwart	De vriend onder de boom verwarren	singular	1	5	De vriend onder de boom verwart de persoon waarschijnlijk.
De vriend onder de boom stimuleert	De vriend onder de boom stimuleren	singular	1	5	De vriend onder de boom stimuleert de persoon waarschijnlijk.
De vriend onder de boom bewondert	De vriend onder de boom bewonderen	singular	1	5	De vriend onder de boom bewondert de persoon waarschijnlijk.
De vriend onder de boom kent	De vriend onder de boom kennen	singular	1	5	De vriend onder de boom kent de persoon waarschijnlijk.
De vriend onder de boom ontmoedigt	De vriend onder de boom ontmoedigen	singular	1	5	De vriend onder de boom ontmoedigt de persoon waarschijnlijk.
De vriend onder de boom inspireert	De vriend onder de boom inspireren	singular	1	5	De vriend onder de boom inspireert de persoon waarschijnlijk.
De vriend onder de boom observeert	De vriend onder de boom observeren	singular	1	5	De vriend onder de boom observeert de persoon waarschijnlijk.
De vriend onder de boom groet	De vriend onder de boom groeten	singular	1	5	De vriend onder de boom groet de persoon waarschijnlijk.
De vriend onder de boom verwart	De vriend onder de boom verwarren	singular	1	5	De vriend onder de boom verwart de persoon openlijk.
De vriend onder de boom stimuleert	De vriend onder de boom stimuleren	singular	1	5	De vriend onder de boom stimuleert de persoon openlijk.
De vriend onder de boom bewondert	De vriend onder de boom bewonderen	singular	1	5	De vriend onder de boom bewondert de persoon openlijk.
De vriend onder de boom kent	De vriend onder de boom kennen	singular	1	5	De vriend onder de boom kent de persoon openlijk.
De vriend onder de boom ontmoedigt	De vriend onder de boom ontmoedigen	singular	1	5	De vriend onder de boom ontmoedigt de persoon openlijk.
De vriend onder de boom inspireert	De vriend onder de boom inspireren	singular	1	5	De vriend onder de boom inspireert de persoon openlijk.
De vriend onder de boom observeert	De vriend onder de boom observeren	singular	1	5	De vriend onder de boom observeert de persoon openlijk.
De vriend onder de boom groet	De vriend onder de boom groeten	singular	1	5	De vriend onder de boom groet de persoon openlijk.
De vriend onder de boom verwart	De vriend onder de boom verwarren	singular	1	5	De vriend onder de boom verwart de persoon zeker.
De vriend onder de boom stimuleert	De vriend onder de boom stimuleren	singular	1	5	De vriend onder de boom stimuleert de persoon zeker.
De vriend onder de boom bewondert	De vriend onder de boom bewonderen	singular	1	5	De vriend onder de boom bewondert de persoon zeker.
De vriend onder de boom kent	De vriend onder de boom kennen	singular	1	5	De vriend onder de boom kent de persoon zeker.
De vriend onder de boom ontmoedigt	De vriend onder de boom ontmoedigen	singular	1	5	De vriend onder de boom ontmoedigt de persoon zeker.
De vriend onder de boom inspireert	De vriend onder de boom inspireren	singular	1	5	De vriend onder de boom inspireert de persoon zeker.
De vriend onder de boom observeert	De vriend onder de boom observeren	singular	1	5	De vriend onder de boom observeert de persoon zeker.
De vriend onder de boom groet	De vriend onder de boom groeten	singular	1	5	De vriend onder de boom groet de persoon zeker.
De vriend onder het raam verwart	De vriend onder het raam verwarren	singular	1	5	De vriend onder het raam verwart de persoon voorzichtig.
De vriend onder het raam stimuleert	De vriend onder het raam stimuleren	singular	1	5	De vriend onder het raam stimuleert de persoon voorzichtig.
De vriend onder het raam bewondert	De vriend onder het raam bewonderen	singular	1	5	De vriend onder het raam bewondert de persoon voorzichtig.
De vriend onder het raam kent	De vriend onder het raam kennen	singular	1	5	De vriend onder het raam kent de persoon voorzichtig.
De vriend onder het raam ontmoedigt	De vriend onder het raam ontmoedigen	singular	1	5	De vriend onder het raam ontmoedigt de persoon voorzichtig.
De vriend onder het raam inspireert	De vriend onder het raam inspireren	singular	1	5	De vriend onder het raam inspireert de persoon voorzichtig.
De vriend onder het raam observeert	De vriend onder het raam observeren	singular	1	5	De vriend onder het raam observeert de persoon voorzichtig.
De vriend onder het raam groet	De vriend onder het raam groeten	singular	1	5	De vriend onder het raam groet de persoon voorzichtig.
De vriend onder het raam verwart	De vriend onder het raam verwarren	singular	1	5	De vriend onder het raam verwart de persoon waarschijnlijk.
De vriend onder het raam stimuleert	De vriend onder het raam stimuleren	singular	1	5	De vriend onder het raam stimuleert de persoon waarschijnlijk.
De vriend onder het raam bewondert	De vriend onder het raam bewonderen	singular	1	5	De vriend onder het raam bewondert de persoon waarschijnlijk.
De vriend onder het raam kent	De vriend onder het raam kennen	singular	1	5	De vriend onder het raam kent de persoon waarschijnlijk.
De vriend onder het raam ontmoedigt	De vriend onder het raam ontmoedigen	singular	1	5	De vriend onder het raam ontmoedigt de persoon waarschijnlijk.
De vriend onder het raam inspireert	De vriend onder het raam inspireren	singular	1	5	De vriend onder het raam inspireert de persoon waarschijnlijk.
De vriend onder het raam observeert	De vriend onder het raam observeren	singular	1	5	De vriend onder het raam observeert de persoon waarschijnlijk.
De vriend onder het raam groet	De vriend onder het raam groeten	singular	1	5	De vriend onder het raam groet de persoon waarschijnlijk.
De vriend onder het raam verwart	De vriend onder het raam verwarren	singular	1	5	De vriend onder het raam verwart de persoon openlijk.
De vriend onder het raam stimuleert	De vriend onder het raam stimuleren	singular	1	5	De vriend onder het raam stimuleert de persoon openlijk.
De vriend onder het raam bewondert	De vriend onder het raam bewonderen	singular	1	5	De vriend onder het raam bewondert de persoon openlijk.
De vriend onder het raam kent	De vriend onder het raam kennen	singular	1	5	De vriend onder het raam kent de persoon openlijk.
De vriend onder het raam ontmoedigt	De vriend onder het raam ontmoedigen	singular	1	5	De vriend onder het raam ontmoedigt de persoon openlijk.
De vriend onder het raam inspireert	De vriend onder het raam inspireren	singular	1	5	De vriend onder het raam inspireert de persoon openlijk.
De vriend onder het raam observeert	De vriend onder het raam observeren	singular	1	5	De vriend onder het raam observeert de persoon openlijk.
De vriend onder het raam groet	De vriend onder het raam groeten	singular	1	5	De vriend onder het raam groet de persoon openlijk.
De vriend onder het raam verwart	De vriend onder het raam verwarren	singular	1	5	De vriend onder het raam verwart de persoon zeker.
De vriend onder het raam stimuleert	De vriend onder het raam stimuleren	singular	1	5	De vriend onder het raam stimuleert de persoon zeker.
De vriend onder het raam bewondert	De vriend onder het raam bewonderen	singular	1	5	De vriend onder het raam bewondert de persoon zeker.
De vriend onder het raam kent	De vriend onder het raam kennen	singular	1	5	De vriend onder het raam kent de persoon zeker.
De vriend onder het raam ontmoedigt	De vriend onder het raam ontmoedigen	singular	1	5	De vriend onder het raam ontmoedigt de persoon zeker.
De vriend onder het raam inspireert	De vriend onder het raam inspireren	singular	1	5	De vriend onder het raam inspireert de persoon zeker.
De vriend onder het raam observeert	De vriend onder het raam observeren	singular	1	5	De vriend onder het raam observeert de persoon zeker.
De vriend onder het raam groet	De vriend onder het raam groeten	singular	1	5	De vriend onder het raam groet de persoon zeker.
De vriend onder de fiets verwart	De vriend onder de fiets verwarren	singular	1	5	De vriend onder de fiets verwart de persoon voorzichtig.
De vriend onder de fiets stimuleert	De vriend onder de fiets stimuleren	singular	1	5	De vriend onder de fiets stimuleert de persoon voorzichtig.
De vriend onder de fiets bewondert	De vriend onder de fiets bewonderen	singular	1	5	De vriend onder de fiets bewondert de persoon voorzichtig.
De vriend onder de fiets kent	De vriend onder de fiets kennen	singular	1	5	De vriend onder de fiets kent de persoon voorzichtig.
De vriend onder de fiets ontmoedigt	De vriend onder de fiets ontmoedigen	singular	1	5	De vriend onder de fiets ontmoedigt de persoon voorzichtig.
De vriend onder de fiets inspireert	De vriend onder de fiets inspireren	singular	1	5	De vriend onder de fiets inspireert de persoon voorzichtig.
De vriend onder de fiets observeert	De vriend onder de fiets observeren	singular	1	5	De vriend onder de fiets observeert de persoon voorzichtig.
De vriend onder de fiets groet	De vriend onder de fiets groeten	singular	1	5	De vriend onder de fiets groet de persoon voorzichtig.
De vriend onder de fiets verwart	De vriend onder de fiets verwarren	singular	1	5	De vriend onder de fiets verwart de persoon waarschijnlijk.
De vriend onder de fiets stimuleert	De vriend onder de fiets stimuleren	singular	1	5	De vriend onder de fiets stimuleert de persoon waarschijnlijk.
De vriend onder de fiets bewondert	De vriend onder de fiets bewonderen	singular	1	5	De vriend onder de fiets bewondert de persoon waarschijnlijk.
De vriend onder de fiets kent	De vriend onder de fiets kennen	singular	1	5	De vriend onder de fiets kent de persoon waarschijnlijk.
De vriend onder de fiets ontmoedigt	De vriend onder de fiets ontmoedigen	singular	1	5	De vriend onder de fiets ontmoedigt de persoon waarschijnlijk.
